category,book_name,author,source,reason
Add a comment,The Case for Christ (Cases for Christianity),Immanuel Bourne,OpenLibrary,
Add a comment,Seven Days in the Art World,Sarah Thornton,OpenLibrary,
Add a comment,Sarah's Key,Tatiana de Rosnay,OpenLibrary,
Add a comment,Manuscript Found in Accra,Paulo Coelho,OpenLibrary,
Add a comment,Cosmos,Alexander von Humboldt,OpenLibrary,
Add a comment,#GIRLBOSS,Celeste Bradley Designs,OpenLibrary,
Add a comment,The Sense of an Ending,Julian Barnes,OpenLibrary,
Add a comment,The Republic,Drew Karpyshyn,OpenLibrary,
Add a comment,The Odyssey,Όμηρος,OpenLibrary,
Add a comment,The Light of the Fireflies,Paul Pen,OpenLibrary,
Add a comment,The Iliad,Όμηρος,OpenLibrary,
Add a comment,The Communist Manifesto,David Boyle,OpenLibrary,
Add a comment,Lord of the Flies,William Golding,OpenLibrary,
Fantasy,Unicorn Tracks,Julia Ember,OpenLibrary,
Fantasy,Masks and Shadows,Winifred H. Mills,OpenLibrary,
Fantasy,A Court of Thorns and Roses (A Court of Thorns and Roses #1),Sarah J. Maas,OpenLibrary,
Fantasy,The Star-Touched Queen,Roshani Chokshi,OpenLibrary,
Fantasy,Searching for Meaning in Gailana,John H. T. Francis,OpenLibrary,
Fantasy,The Star-Touched Queen,Roshani Chokshi,OpenLibrary,
Fantasy,King's Folly (The Kinsman Chronicles #1),Jill Williamson,OpenLibrary,
Fantasy,Tell the Wind and Fire,Sarah Rees Brennan,OpenLibrary,
Fantasy,Heir to the Sky,Amanda Sun,OpenLibrary,
Fantasy,Ash,Frank McCourt,OpenLibrary,
Fantasy,Vampire Girl (Vampire Girl #1),Chloe Neill,OpenLibrary,
New Adult,Shameless,Kiki Swinson,OpenLibrary,
Young Adult,The Requiem Red,Brynn Chapman,OpenLibrary,
Young Adult,Set Me Free,Jay Dee,OpenLibrary,
Young Adult,Burning,Jack London,OpenLibrary,
Young Adult,A Fierce and Subtle Poison,Samantha Mabry,OpenLibrary,
Young Adult,Scarlett Epstein Hates It Here,Anna Breslaw,OpenLibrary,
Young Adult,"Nightingale, Sing",Monica Dickens,OpenLibrary,
Young Adult,Wild Swans,Jung Chang,OpenLibrary,
Young Adult,This Is Where It Ends,Marieke Nijkamp,OpenLibrary,
Young Adult,The Darkest Lie,Gena Showalter,OpenLibrary,
Young Adult,My Kind of Crazy,Robin Reul,OpenLibrary,
Young Adult,Don't Get Caught,Kurt Dinan,OpenLibrary,
Young Adult,"Exit, Pursued by a Bear",E. K. Johnston,OpenLibrary,
Young Adult,The Alien Club,Trel W Sidoruk,OpenLibrary,
Young Adult,Don't Forget Steven,P. D. Workman,OpenLibrary,
Young Adult,South of Sunshine,Dana Elmendorf,OpenLibrary,
Young Adult,My Life Next Door (My Life Next Door ),Huntley Fitzpatrick,OpenLibrary,
Young Adult,Tell the Wolves I'm Home,Carol Rifka Brunt,OpenLibrary,
Young Adult,"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",John Green,OpenLibrary,
Young Adult,Two Summers,Nora Roberts,OpenLibrary,
Young Adult,The Darkest Corners,Elizabeth Haynes,OpenLibrary,
Young Adult,Tell Me Three Things,Julie Buxbaum,OpenLibrary,
Young Adult,Kill the Boy Band,Goldy Moldavsky,OpenLibrary,
Young Adult,An Abundance of Katherines,John Green,OpenLibrary,
Young Adult,Harry Potter and the Prisoner of Azkaban (Harry Potter #3),Dollhouse,OpenLibrary,
Young Adult,Two Boys Kissing,David Levithan,OpenLibrary,
Young Adult,The New Guy (and Other Senior Year Distractions),Amy Spalding,OpenLibrary,
Young Adult,"The Land of 10,000 Madonnas",Kate Hattemer,OpenLibrary,
Young Adult,Legend (Legend #1),Gregory Mundy,OpenLibrary,
Young Adult,Boy Meets Boy,David Levithan,OpenLibrary,
Young Adult,Annie on My Mind,Nancy Garden,OpenLibrary,
Young Adult,The Haters,Thomas Shadwell,OpenLibrary,
Young Adult,The Art of Not Breathing,Sarah Alexander,OpenLibrary,
Science,The Origin of Species,Charles Darwin,OpenLibrary,
Science,The Grand Design,Stephen Hawking,OpenLibrary,
Science,Peak: Secrets from the New Science of Expertise,The Mindset Warrior,OpenLibrary,
Science,Seven Brief Lessons on Physics,Carlo Rovelli,OpenLibrary,
Science,The Selfish Gene,Richard Dawkins,OpenLibrary,
Poetry,A Light in the Attic,Shel Silverstein,OpenLibrary,
Poetry,The Black Maria,Aracelis Girmay,OpenLibrary,
Poetry,Shakespeare's Sonnets,William Shakespeare,OpenLibrary,
Poetry,Olio,Tyehimba Jess,OpenLibrary,
Poetry,Poems That Make Grown Women Cry,Anthony Holden,OpenLibrary,
Poetry,Night Sky with Exit Wounds,Ocean Vuong,OpenLibrary,
Poetry,salt.,Patricia Highsmith,OpenLibrary,
Poetry,Les Fleurs du Mal,Charles Baudelaire,OpenLibrary,
Poetry,Howl and Other Poems,Allen Ginsberg,OpenLibrary,
Poetry,The Crossover,Kwame Alexander,OpenLibrary,
Poetry,Booked,Donald Nguyen,OpenLibrary,
Poetry,Twenty Love Poems and a Song of Despair,J. Simon Harris,OpenLibrary,
Art,Wall and Piece,Banksy,OpenLibrary,
Art,The New Drawing on the Right Side of the Brain,Betty Edwards,OpenLibrary,
Art,History of Beauty,Umberto Eco,OpenLibrary,
Art,The Story of Art,E. H. Gombrich,OpenLibrary,
Art,The Art Book,Art Book,OpenLibrary,
Art,Ways of Seeing,John Berger,OpenLibrary,
Psychology,"Thinking, Fast and Slow",Daniel Kahneman,OpenLibrary,
Psychology,Civilization and Its Discontents,Sigmund Freud,OpenLibrary,
Psychology,8 Keys to Mental Health Through Exercise,Christina G. Hibbert,OpenLibrary,
Autobiography,The Argonauts,Maggie Nelson,OpenLibrary,
Autobiography,M Train,Patti Smith,OpenLibrary,
Autobiography,Lab Girl,Hope Jahren,OpenLibrary,
Autobiography,Running with Scissors,Augusten Burroughs,OpenLibrary,
Autobiography,Me Talk Pretty One Day,David Sedaris,OpenLibrary,
Autobiography,Lust & Wonder,James Mahoney,OpenLibrary,
Autobiography,Life Without a Recipe,Diana Abu-Jaber,OpenLibrary,
Autobiography,A Heartbreaking Work of Staggering Genius,Dave Eggers,OpenLibrary,
Humor,Dress Your Family in Corduroy and Denim,David Sedaris,OpenLibrary,
Humor,When You Are Engulfed in Flames,David Sedaris,OpenLibrary,
Humor,Naked,William S. Burroughs,OpenLibrary,
Humor,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,OpenLibrary,
Humor,Holidays on Ice,David Sedaris,OpenLibrary,
Horror,Security,Benjamin Graham,OpenLibrary,
Horror,Follow You Home,"Edwards, Mark (Fiction writer)",OpenLibrary,
Horror,The Loney,Andrew Michael Hurley,OpenLibrary,
Horror,Pet Sematary,Stephen King,OpenLibrary,
Horror,Dracula the Un-Dead,Dacre Stoker,OpenLibrary,
Horror,Needful Things,Stephen King,OpenLibrary,
Horror,Misery,Stephen King,OpenLibrary,
Horror,It,Edith Nesbit,OpenLibrary,
Horror,'Salem's Lot,Stephen King,OpenLibrary,
Horror,The Stand,Stephen King,OpenLibrary,
Horror,The Girl with All the Gifts,M. R. Carey,OpenLibrary,
Horror,House of Leaves,Mark Z. Danielewski,OpenLibrary,
History,Sapiens: A Brief History of Humankind,BookNation,OpenLibrary,
History,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,A. C. Grayling,OpenLibrary,
History,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,Worth Books,OpenLibrary,
History,Zealot: The Life and Times of Jesus of Nazareth,Reza Aslan,OpenLibrary,
History,A Short History of Nearly Everything,Bill Bryson,OpenLibrary,
History,The Rise and Fall of the Third Reich: A History of Nazi Germany,WILLIAM L. SHIRER,OpenLibrary,
History,The Hiding Place,Corrie ten Boom,OpenLibrary,
History,The Guns of August,Barbara Tuchman,OpenLibrary,
Food and Drink,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Ree Drummond,OpenLibrary,
Food and Drink,Barefoot Contessa Back to Basics,Ina Garten,OpenLibrary,
Food and Drink,32 Yolks,Eric Ripert,OpenLibrary,
Food and Drink,The Barefoot Contessa Cookbook,Ina Garten,OpenLibrary,
Food and Drink,The Smitten Kitchen Cookbook,Deb Perelman,OpenLibrary,
Christian Fiction,Redeeming Love,Francine Rivers,OpenLibrary,
Christian Fiction,Close to You,Christina Dodd,OpenLibrary,
Christian Fiction,Like Never Before (Walker Family #2),Melissa Tagg,OpenLibrary,
Business,The Dirty Little Secrets of Getting Your Dream Job,Don Raskin,OpenLibrary,
Business,The Art of Startup Fundraising,Alejandro Cremades,OpenLibrary,
Business,"Rich Dad, Poor Dad",Robert T. Kiyosaki,OpenLibrary,
Business,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Worth Books,OpenLibrary,
Business,Rework,Jason Fried,OpenLibrary,
Biography,Benjamin Franklin: An American Life,Walter Isaacson,OpenLibrary,
Thriller,In Her Wake,Amanda Jennings,OpenLibrary,
Thriller,The Elephant Tree,R. D. Ronald,OpenLibrary,
Thriller,Behind Closed Doors,B.A. Paris,OpenLibrary,
Thriller,You (You #1),Ally Carter,OpenLibrary,
Thriller,Give It Back,Kimberly Daniels,OpenLibrary,
Thriller,The Travelers,Marco Polo,OpenLibrary,
Contemporary,When We Collided,Emery Lord,OpenLibrary,
Contemporary,We Are All Completely Beside Ourselves,Karen Joy Fowler,OpenLibrary,
Spirituality,The Four Agreements: A Practical Guide to Personal Freedom,"Ruiz, Miguel, 1952-",OpenLibrary,
Self Help,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,alex,OpenLibrary,
Self Help,How to Stop Worrying and Start Living,Dale Carnegie,OpenLibrary,
Historical,All the Light We Cannot See,Anthony Doerr,OpenLibrary,
Christian,Crazy Love: Overwhelmed by a Relentless God,Chris Tomlin,OpenLibrary,
Short Stories,The Grownup,Gillian Flynn,OpenLibrary,
Health,"Eat Fat, Get Thin",Katya Johansson,OpenLibrary,
Health,The Art and Science of Low Carbohydrate Living,Jeff Volek,OpenLibrary,
Politics,Libertarianism for Beginners,Todd Seavey,OpenLibrary,
Cultural,Amid the Chaos,Nia Quin,OpenLibrary,
Erotica,Dark Notes,Pam Godwin`,OpenLibrary,
Travel,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Tim Ferriss,BooksToScrape,
Mystery,The Murder of Roger Ackroyd (Hercule Poirot #4),Sheppard,BooksToScrape,
Mystery,Tastes Like Fear (DI Marnie Rome #3),Lisa Gardner and,BooksToScrape,
Mystery,Boar Island (Anna Pigeon #19),Nevada Barr featuring fearless park ranger Anna Pigeon as she battles to solve a heinous crime set amidst Bringing you a gripping mystery,BooksToScrape,
Mystery,What Happened on Beale Street (Secrets of the South Mysteries #2),Mary Ellis. These standalone,BooksToScrape,
Mystery,The Cuckoo's Calling (Cormoran Strike #1),J.K. Rowling,BooksToScrape,
Historical Fiction,The Constant Princess (The Tudor Court #1),Anne Boleyn,BooksToScrape,
Sequential Art,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",John Allison. ...more,BooksToScrape,
Sequential Art,"Fables, Vol. 1: Legends in Exile (Fables #1)",Wolf,BooksToScrape,
Sequential Art,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Yanick Paquette,BooksToScrape,
Sequential Art,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),National Book Award nominee Gene Luen Yang,BooksToScrape,
Sequential Art,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Republic soldiers so she can win over the Elector and feed him a decoy assassination plan. But when June realizes that the new Elector is nothing like his father,BooksToScrape,
Sequential Art,"Saga, Volume 2 (Saga (Collected Editions) #2)",Hazel has already survived lethal assassins,BooksToScrape,
Romance,The Wedding Pact (The O'Malleys #2),Katee Robert continues her smoking,BooksToScrape,
Romance,A Girl's Guide to Moving On (New Beginnings #2),Debbie Macomber reaches new heights in this wise and beautiful novel. It,BooksToScrape,
Romance,Best of My Love (Fool's Gold #20),Gilmore goes on the hunt for a friend,BooksToScrape,
Romance,Listen to Me (Fusion #1),Kristen Proby,BooksToScrape,
Fiction,Private Paris (Private #10),Private,BooksToScrape,
Fiction,The First Hostage (J.B. Collins #2),ISIS terrorists in Amman,BooksToScrape,
Fiction,The Silent Sister (Riley MacPherson #1),Diane Chamberlain. ...more,BooksToScrape,
Fiction,Lila (Gilead #3),Doll,BooksToScrape,
Fiction,Jurassic Park (Jurassic Park #1),Chip Kidd. ...more,BooksToScrape,
Childrens,The Cat in the Hat (Beginner Books B-1),Dr. Seuss,BooksToScrape,
Childrens,Green Eggs and Ham (Beginner Books B-16),Dr. Seuss. In a house or with a mouse,BooksToScrape,
Religion,You Are What You Love: The Spiritual Power of Habit,James K. A. Smith shows that who and what we worship fundamentally shape our hearts. And while we desire to shape culture,BooksToScrape,
Religion,God: The Most Unpleasant Character in All Fiction,Richard Dawkins and former evangelical preacher Dan Barker,BooksToScrape,
Nonfiction,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Douglas Rushkoff,BooksToScrape,
Nonfiction,The Gutsy Girl: Escapades for Your Life of Epic Adventure,Caroline Paul emboldens girls to seek out a life of exhilaration. Once a young scaredy,BooksToScrape,
Nonfiction,Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian and cognitive scientist Tom Griffiths show how the algorithms used by computers can also untangle very human questions. They explain how to have better hunches and when to leave things to chance,BooksToScrape,
Nonfiction,Becoming Wise: An Inquiry into the Mystery and Art of Living,Tippett and accompanied by a delightfully ecumenical dream team of teaching faculty.,BooksToScrape,
Nonfiction,13 Hours: The Inside Account of What Really Happened In Benghazi,CIA station called the Annex in Benghazi,BooksToScrape,
Nonfiction,Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,Michael Hyatt and executive coach Daniel Harkavy show us how to do,BooksToScrape,
Nonfiction,The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,Einstein,BooksToScrape,
Nonfiction,We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,First Lady Eleanor Roosevelt,BooksToScrape,
Nonfiction,"Unstuffed: Decluttering Your Home, Mind, and Soul",Ruth Soukup feels y,BooksToScrape,
Nonfiction,Night (The Night Trilogy #1),Elie Wiesel about his experience with his father in the Nazi German concentration camps at Auschwitz and Buchenwald in,BooksToScrape,
Nonfiction,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Hitler until Berlin,BooksToScrape,
Music,Love Is a Mix Tape (Music #1),The Rolling Stones,BooksToScrape,
Music,Kill 'Em and Leave: Searching for James Brown and the American Soul,Brown,BooksToScrape,
Music,Old Records Never Die: One Man's Quest for His Vinyl and His Past,Wilco,BooksToScrape,
Default,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Wayne Stewart not only tells us who they are,BooksToScrape,
Default,Maude (1883-1993):She Grew Up with the country,Mardo Williams,BooksToScrape,
Default,Done Rubbed Out (Reightman & Bailey #1),Bailey discovers his former lover naked and dead on a massage table,BooksToScrape,
Default,Greek Mythic History,Spencer Clevenger to critical insights and intriguing results. In,BooksToScrape,
Default,The Hobbit (Middle-Earth Universe),Collins Modern Classics,BooksToScrape,
Default,The Dream Thieves (The Raven Cycle #2),Academy. The path to Glendower has long lived as an undercurrent beneath town. But now,BooksToScrape,
Default,Alight (The Generations Trilogy #2),New York Times bestselling author Scott Sigler,BooksToScrape,
Default,Eclipse (Twilight #3),Twilight and New Moon will eagerly devour Eclipse,BooksToScrape,
Sports and Games,Icing (Aces Hockey #2),Jami Davenport as her,BooksToScrape,
Add a comment,The Torch Is Passed: A Harding Family Story,Nicholas. What no one knows until much later is that the Oakes brothers have entered into a business deal with Russian mobster Viktor Roman,BooksToScrape,
Add a comment,A Brush of Wings (Angels Walking #3),Karen Kingsbury comes the third novel in the unforgettable Angels Walking series about divine intervention and the trials and triumphs of life for a group of friends.Despite needing a heart transplant and against the advice of her doctor,BooksToScrape,
Add a comment,The Midnight Watch: A Novel of the Titanic and the Californian,Steadman,BooksToScrape,
Fantasy,The Bane Chronicles (The Bane Chronicles #1-11),Cassandra Clare,BooksToScrape,
Fantasy,Paper and Fire (The Great Library #2),Rachel Caine introduced a world where knowledge is power,BooksToScrape,
Fantasy,The Rose & the Dagger (The Wrath and the Dawn #2),Publishers Weekly as,BooksToScrape,
Young Adult,Frostbite (Vampire Academy #2),Strigoi attack puts St. Vladimir,BooksToScrape,
Young Adult,No Love Allowed (Dodge Cove #1),Kate Evangelista.Caleb desperately needs a fake girlfriend. Either he attends a series of parties for his father,BooksToScrape,
Young Adult,Lady Renegades (Rebel Belle #3),Rachel Hawkins brings the fun once again in the finale of this pitch,BooksToScrape,
Science,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Luba Vikhanski chronicles Metchnikoff,BooksToScrape,
Science,"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",Sam Kean comes incredible stories of science,BooksToScrape,
Poetry,Out of Print: City Lights Spotlight No. 14,Julien Poirier,BooksToScrape,
Poetry,The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),Yeats for inclusion in his standard canon. Breathtaking in range,BooksToScrape,
Art,Art and Fear: Observations on the Perils (and Rewards) of Artmaking,Mozart. After all,BooksToScrape,
Adult Fiction,Fifty Shades Freed (Fifty Shades #3),Christian,BooksToScrape,
Horror,Psycho: Sanitarium (Psycho #1.5),Robert Bloch was published in,BooksToScrape,
History,Catherine the Great: Portrait of a Woman,Voltaire as like the classical philosophers. She was condemned by enemies,BooksToScrape,
History,America's War for the Greater Middle East: A Military History,Andrew J. Bacevich provides a searing reassessment of U.S. military policy in the Middle East over the past four decades. From the end of World War II until,BooksToScrape,
History,"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",Richard Conniff introduces a cast of bold expl This fascinating book tells the story of how one museum changed ideas about dinosaurs,BooksToScrape,
Food and Drink,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Heidi Swanson toSaveurMagazine,BooksToScrape,
Food and Drink,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Ella,BooksToScrape,
Food and Drink,How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),Flay,BooksToScrape,
Business,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Inc.,BooksToScrape,
Biography,The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,Larry Alex Taunton.,BooksToScrape,
Thriller,The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),Finchem,BooksToScrape,
Thriller,Far From True (Promise Falls Trilogy #2),Linwood Barclay delivers the second spine,BooksToScrape,
Contemporary,Someone Like You (The Harrisons #2),McCord should be grateful. Instead she,BooksToScrape,
Spirituality,If I Gave You God's Phone Number....: Searching for Spirituality in America,Ms. Cromwell,BooksToScrape,
Self Help,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",Joyce Meyer shows readers how to become free from the burden of stress so that they can achieve God,BooksToScrape,
