id,headline,summary
1,"Lionel Messi Biography: Check Biography, Family, Achievements, Current Team & Net Worth! - Jagran Josh","<a href=""https://news.google.com/rss/articles/CBMihwFBVV95cUxQdDd6U2Q5d2RENmhGTzhyaFhUdkdBbGpHanoxdUZnLTdBOE1TSHJMVDVBWkhqSHRqLW4yUHpUZGEzUUQ1bGFsX2RVSVpEM1QyOXpZOWxaSFFZdTJVVjRubHp1eWNTUE8ySTZCM2xVNW9GUHlhN25sSDRXWTNPMFNPektPWVVtMEk?oc=5"" target=""_blank"">Lionel Messi Biography: Check Biography, Family, Achievements, Current Team & Net Worth!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran Josh</font>"
2,"H.G. Wells | Biography, Books, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiWkFVX3lxTE8zRk81cjJkTVZSVlI3Zk1WUmY0Nk1IV29SX0NpSTE4LWt2Z0o5b2FfMUE1d0VfTmVNd0NFdnFCWTlDVzVKd0lKQUQxbEZBTUtqU21oaHlLQzNMUQ?oc=5"" target=""_blank"">H.G. Wells | Biography, Books, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
3,Biography of the First Overseas Citizen of India Iftekhar Sharif Zindagi in Two Shades - industryhit.com,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxPeFB6WlQxSTFFTnRIX1hnSnlzYXprSFQ2LVc0Sk1qTDMtcVpEN21kMkJTZTF2dWU4dmFxWW82UV96WXhsUWx3eHVRdzJzeGlRTkNPM3Y0ZlBiX2JSclA1WlVpdlhvTk92TGw0elJlMkxaNVY2T2pWaXN2LUFGcVJrQXZxUXZaQ3NNS2R4SzA0QWN0Z3dWVDFOREZzS1RTcDlSVU5oVV9SZzBNMEdyNlllVC1YSQ?oc=5"" target=""_blank"">Biography of the First Overseas Citizen of India Iftekhar Sharif Zindagi in Two Shades</a>&nbsp;&nbsp;<font color=""#6f6f6f"">industryhit.com</font>"
4,'Unseen': Deepinder Goyal’s business biography dares to be honest - afaqs!,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxNQXo5SVJncG9ab0VrYVVZaEp5YWszU2NlUVZWOTE5bS1RRzhVX0t0Q1M5SG1HNU5TRWhjbnVQV2FJYi03bWJGN2VXSzNSbkZkN1lyT0FfLVU5U0RtQ1ptLTkyYzJIWld0allFOHcyZzBxclhKWnlOMGRPMUNoNkFUanpUQlJNSGM4bWV5WTVIQ1dwZkV6TkZ1SDFSbGx1a1ZpMGRfUA?oc=5"" target=""_blank"">'Unseen': Deepinder Goyal’s business biography dares to be honest</a>&nbsp;&nbsp;<font color=""#6f6f6f"">afaqs!</font>"
5,Books in the Media: biography of Michael Lynch compels critics - The Bookseller,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxQWFc2enRpUExlTl9xLWhCQUZfRFdWVEgxc2RpNWIyQ0ZZdHpMTm8xSm9SYV9ubC16REpzQWU2OFRIeDV0UEpwem1fTjZDUWZtRUZGMWk5aXY1MVZqd2tCamhfRjdodkZYSjUydnZhQ1NhTC04T25sTFBSLXVka2JpWlZGaE5zQ1hodTN1bnVueVZSYlhOeHlaQXF2ZkU?oc=5"" target=""_blank"">Books in the Media: biography of Michael Lynch compels critics</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Bookseller</font>"
6,"Who is Nitin Nabin: BJP's newly appointed national working president, seen by insiders as JP Nadda’s likel - The Economic Times","<a href=""https://news.google.com/rss/articles/CBMivAJBVV95cUxOaGx1dVc4U043STExaDVnUG5MS2FNWTl0Qlh2S0JxUXZINGJzZUt2ZWMwWlA0T3VxNUNkQV9oOTNta2FNRXdnYThvd1hyTkZ2ZV9tMDNzaXNjTEhDWGVQaXAtalV6STFpVndvSjRoZTlvY0JrcXRvUE5OUHdEaHR3Q2JsZ0hMUzdkRUZLYXdUaUFqNnRwR0RucGxCRXZSSjZhQmRpcERmNWhHRjVZcjU5WHhmekgzXy1aY21Pdkl1enZwNTBKaW9vUW1yN3ZPWGstMC11a2lvSTFKOVBIY2JlSHVtSzdNYTdYdlM2cGV3LWhqdnE2ZDJMY3NUXzIzUm9kNWpkWk54MDNzQ2h6YkNFXzI2SG9VSEhmV1phN09RVWd1UWtBZU5wX1NTME1GV3paUkVicmVsc0s2RWpy0gHCAkFVX3lxTFBvMUhvSWpQNnRja3UybXpCREIzYWJoRlg4SUhTSU9kWkR6R3RHWUQxb2J4ODF1aXYtRGtzdk4xTkhfekZmWUgzRTAzZHVZa21zY0xVVmtaYjJSSjhlVngwS2tFNzNIcXBnbW5EclNmTjhOd2RWaUt4em53SkVieGgxSW9lZjNRUnkyY2FWU3FDYk96c0VlRmxXYkNVOTFwREtWODVJYTVjckRfdkptb0hGejhUS1R3N01wckhWQnFNaUlCbnhfbmJoeFVDMVI4RXl1UlBaaW9weEp2b0czdjFUQWpzUllmYzZURHVUaGNzOXVkY3NvcmU5eF95elV1UTIzcXhFQ2FadVRjZjgxWXdlRlNEMjVuWWNvZkxOQ0hGWU5FTHhENmw2VUw5NTlja2pYV2lvd1p3M000bkpjdUFaalE?oc=5"" target=""_blank"">Who is Nitin Nabin: BJP's newly appointed national working president, seen by insiders as JP Nadda’s likel</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>"
7,"Walt Disney | Biography, Movies, Company, Characters, Resorts, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiXEFVX3lxTFBjc2o5WUt4aFB0NTFMbDFQS2w4eHJNa2FmRWdac3IyNGFBZXk2eHpMWjBTeU00QkdpMTg2c041MHo4NTV2LVhYU0hzbU1VN0pYNnlIMDV6Qy1uT0tC?oc=5"" target=""_blank"">Walt Disney | Biography, Movies, Company, Characters, Resorts, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
8,"Taylor Swift | Songs, Engaged, Albums, Travis Kelce, Life of a Showgirl, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiXkFVX3lxTE9femZaalRhODBTZGdVT1NVdEh0ZUtfUjJUaUhZS01HdFlXQTJXSVJLUzNDZ185cmd4eTJzY1lRTHRfSUVKWkZwSjhNcFh6T2lla2pEYkFudWdVWXRTY2c?oc=5"" target=""_blank"">Taylor Swift | Songs, Engaged, Albums, Travis Kelce, Life of a Showgirl, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
9,"Xi Jinping | Biography, Education, Age, Wife, Peng Liyuan, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiW0FVX3lxTE1ZcVJMbXpaU2JmbEc3NTBfZ0Y4Nmc2Yk56WXlybGE3SEN1YnlRVXhEZ1JjMk5sUWJJS01QMlFUdXppMGllbkJTOXNlczlKUzlwcHpNX3g2UUJJMjQ?oc=5"" target=""_blank"">Xi Jinping | Biography, Education, Age, Wife, Peng Liyuan, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
10,Hillary Clinton - Britannica,"<a href=""https://news.google.com/rss/articles/CBMiYkFVX3lxTFB4QVZfLXFld2JjUk1Za3RoNHYyOHNqRWpGSEZ3cjBCaXgxYklfZDJkdDh1ZzE0QjA1MHdlUGlKZmtXZ2g5MkZhSXdYWW9MOWxKOExwUTNrR0JnWHROdk1NZFlR?oc=5"" target=""_blank"">Hillary Clinton</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
11,"F. Scott Fitzgerald | Biography, Books, Zelda, Education, The Great Gatsby, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiZkFVX3lxTE1rNU55VmNkMldCSlNNQW1QUkZZeUx6Mk94MU1qb3JUT2thX1Jhd0dJVzllVjNaLXR3alA0cWRMaV9jaTdxNkJZNHZTRFNTWlc2RnA1QTFiSU5hWGN0ejB2VWRjaXdvUQ?oc=5"" target=""_blank"">F. Scott Fitzgerald | Biography, Books, Zelda, Education, The Great Gatsby, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
12,"Bell hooks | Biography, Books, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiW0FVX3lxTE84RFplbjBRT2ZFNlN2cE1HUGRrTm1QaU8yMDhYYVhpNko5Y1BMTEVLQzZjbXRwa3lSMlRmLVNnUno5OXAzS1h1TUU3Z2J4QXN5QkFMZmQ1VDBUTVk?oc=5"" target=""_blank"">Bell hooks | Biography, Books, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
13,"Jesus | Facts, Teachings, Miracles, Death, & Doctrines - Britannica","<a href=""https://news.google.com/rss/articles/CBMiVEFVX3lxTE9vVGZYNm5oMGVPYzQzdzY2bEZCZVFRV0pXMk9kVHhIUDZIdWN2VVQ2Ykhoa1ZUdlNVMFBPa3FBZXNLRHpSU3ZGZkM2cmIydFRaT0Uyeg?oc=5"" target=""_blank"">Jesus | Facts, Teachings, Miracles, Death, & Doctrines</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
14,"Emily Dickinson | Biography, Poems, Death, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiYkFVX3lxTE00Um0zUjNxRHduNjZGeC11VUZfc2l3WFdHd0ExY3hrTHVGTzBfd1ZRSXZ2WUxydFVYZS1ENXhQcXpqbjF5aGpUNU1PUzVJanhQbWtxNEFsTU5qaHJsTndfcXpn?oc=5"" target=""_blank"">Emily Dickinson | Biography, Poems, Death, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
15,Narendra Modi - Britannica,"<a href=""https://news.google.com/rss/articles/CBMiX0FVX3lxTE1UTElWTGNCUHpwQ016MDdoT2ZyeXVLYTNYdDBYTE9jZTVfRm9maGx5YmV0ZFFtbHdtckFobHBqT1FKVW9GVDRuRXFmTGZKbXhyUzZ2WFhYRUVBVXNlYm4w?oc=5"" target=""_blank"">Narendra Modi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
16,"Dr. Seuss | Biography, Books, Characters, Movies, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiWEFVX3lxTE85SG11N1NETk5RZWxmUlBRTnc2eDVNdER1c3BQZFhyU0lzcHRQeVJRdlJrUDVwZ1NmOHRTT0h4c0NMOXVsN3V6azF0dUtyWThXOHFvZnpGU08?oc=5"" target=""_blank"">Dr. Seuss | Biography, Books, Characters, Movies, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
17,"Elizabeth II | Biography, Family, Reign, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiXkFVX3lxTFBFbDFZTDRjbk9fZGx3UHJULUxPTzM1QXI0cUhPTkxXWFpSRVAwWDBPQjl1SUgtV3ozMjh2eDk4VzE0dkY1cnVVSnd0UnBacHhKeWhEWExvTS1GWkVVVGc?oc=5"" target=""_blank"">Elizabeth II | Biography, Family, Reign, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
18,"Ernest Hemingway | Biography, Books, Death, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiY0FVX3lxTFBvQlZtTjgwTl9NQXhVT3Z2S0lRc2ZIQlJPUzYzdEtwZ2tvTk1jUGN0b3lSVWtaYVRVM20zSXMxSFo0cnMxY25YUjJhQmNBbGJSeXRHWjVmSTQ3Y2l1YkxzVjdNdw?oc=5"" target=""_blank"">Ernest Hemingway | Biography, Books, Death, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
19,"Greta Thunberg | Gaza, Flotilla, Age, Education, Climate Change, & Activism - Britannica","<a href=""https://news.google.com/rss/articles/CBMiYEFVX3lxTFAwbVFqQ2JNdmdrNmNMeXFFU2E5VjFyM3ExQjdGc092S2ZvdTl0SlNUXzlyQ1FidkQ3VnptUVRJWkRsX2FvZkhFeDhZLVhoQWdXMEkwWV90a1NjOXgwWmxRSA?oc=5"" target=""_blank"">Greta Thunberg | Gaza, Flotilla, Age, Education, Climate Change, & Activism</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
20,"Arthur Conan Doyle | Biography, Books, Sherlock Holmes, Death, Fairies, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiZkFVX3lxTE5fblNQRDZVUzQwODJ6d24xTWlWTDEtamRwWVpWRWFEUnpDNGo2X3NrcmJzeDRWVzFUVWp4azdXRzNhVzU0ZG5BYU9PUlplZEJjU2FKekZBU0JRNHdqLVJKd1JMd3M2Zw?oc=5"" target=""_blank"">Arthur Conan Doyle | Biography, Books, Sherlock Holmes, Death, Fairies, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
21,"Viktor Orban | Biography, Ideology, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiXkFVX3lxTE9BNkJQN1lCNklrdnREbk1oV2lHLVV6TnBweE52bnBSbW5pQ3pKV2ZzSk12Nzd2NlBrdVhESTIzVHVPY1Jsb2ZEWG1QNjZWWFF5MWFYLWR0aEo2UzhSa2c?oc=5"" target=""_blank"">Viktor Orban | Biography, Ideology, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
22,Margaret Atwood - Britannica,"<a href=""https://news.google.com/rss/articles/CBMiYkFVX3lxTE04QnNWdk9fMWlCTVlRQTJtQUVTeEZoSFdVSjZnYkFPTnRjYTNFelVXM0lvbmhPekJxWWJHMllMbkFpR21oQ1FTbHJxMXpSU2RIT0JEbUl2dHptclliaV9OdE93?oc=5"" target=""_blank"">Margaret Atwood</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
23,"Elon Musk | SpaceX, Tesla, Twitter, X, Trump, DOGE, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiVEFVX3lxTE5xeFllLWI4enZVQmExeDZsV2Ewa19ESXc4XzVlUmc3N29kQmhyRnZOa2dWUlV1SFd2bHBkS3FrX0ZTTW5PekRWaFUweEFOMkgwRDNnRQ?oc=5"" target=""_blank"">Elon Musk | SpaceX, Tesla, Twitter, X, Trump, DOGE, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
24,"Oprah Winfrey | Biography, Talk Show, Movies, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiX0FVX3lxTE10aVpEMnJSLXBWSXhyVmdsczhQQ09hbUVad3dTdXJZMjV3RG5MV0g2WVNPQ0MxY19LajdxVHY3LVlXaEtkc01HUjhKR0xlaVZfNjhfc09WSVVWTUhBOXlN?oc=5"" target=""_blank"">Oprah Winfrey | Biography, Talk Show, Movies, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
